stop_id,stop_id_stepp,stop_code,stop_name,stop_desc,stop_remarks,stop_lat,stop_lon,zone_id,zone_shift,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code,entrance_restriction,exit_restriction,slot,signalling,shelter,bench,network_map,schedule,real_time_information,tariff,preservation_state,equipment,observations,region,municipality,municipality_fare_1,municipality_fare_2
070811,70811,"070811","Av 11 Março 37 (Portela Azóia)","","",38.838933,-9.100697,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070813,70813,"070813","Av 25 Abril 40 (Portela Azóia)","","",38.840325,-9.10085,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070814,70814,"070814","Av 25 Abril 40 (Portela Azóia)","","",38.840449,-9.100943,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070815,70815,"070815","Av 25 Abril 54 (Portela Azóia)","","",38.843537,-9.101003,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070817,70817,"070817","En 115 (Parque Urbano)","","",38.845456,-9.099711,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070819,70819,"070819","Av Inf Santo (Cemitério)","","",38.845533,-9.097833,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070820,70820,"070820","Av Inf Santo (Cemitério)","","",38.845348,-9.097983,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070821,70821,"070821","Av Inf Santo 24","","",38.843246,-9.095224,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070822,70822,"070822","Av Inf Santo 24","","",38.843235,-9.095318,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070823,70823,"070823","Av Inf Santo (Portela Azóia)","","",38.839835,-9.095091,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070825,70825,"070825","Av Inf Santo 76","","",38.8372,-9.09583,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
070829,70829,"070829","R José Augusto Gouveia 12 (Pirescoxe)","","",38.836499,-9.092189,,,,,,,,,,,,,,,,,,,,,,,PT170,1107,,
