layover_id,agency_id,service_id,start_time,end_time,location_id,block_id,start_shift_id,end_shift_id
ED122_865_880,43,ESC_DOM,14:25:00,14:40:00,150051,ESC_DOM_ED122,ED122,ED122
ED122_950_970,43,ESC_DOM,15:50:00,16:10:00,060459,ESC_DOM_ED122,ED122,ED122
ED123_837_885,43,ESC_DOM,13:57:00,14:45:00,150013,ESC_DOM_ED123,ED123,ED123
ED123_940_960,43,ESC_DOM,15:40:00,16:00:00,150051,ESC_DOM_ED123,ED123,ED123
ED124_1156_1205,43,ESC_DOM,19:16:00,20:05:00,160029,ESC_DOM_ED124,ED124,ED124
ED124_1310_1320,43,ESC_DOM,21:50:00,22:00:00,160031,ESC_DOM_ED124,ED124,ED124
ED12_1060_1095,43,ESC_DOM,17:40:00,18:15:00,020429,ESC_DOM_ED12,ED12,ED12
ED12_1255_1260,43,ESC_DOM,20:55:00,21:00:00,020967,ESC_DOM_ED12,ED12,ED12
ED12_1340_1355,43,ESC_DOM,22:20:00,22:35:00,020967,ESC_DOM_ED12,ED12,ED12
ED12_1390_1405,43,ESC_DOM,23:10:00,23:25:00,020959,ESC_DOM_ED12,ED12,ED12
ED12_1485_1510,43,ESC_DOM,24:45:00,25:10:00,140021,ESC_DOM_ED12,ED12,ED12
ED12_400_415,43,ESC_DOM,06:40:00,06:55:00,020800,ESC_DOM_ED12,ED12,ED12
ED12_475_480,43,ESC_DOM,07:55:00,08:00:00,140276,ESC_DOM_ED12,ED12,ED12
ED12_562_565,43,ESC_DOM,09:22:00,09:25:00,020179,ESC_DOM_ED12,ED12,ED12
ED12_610_640,43,ESC_DOM,10:10:00,10:40:00,020073,ESC_DOM_ED12,ED12,ED12
ED12_686_715,43,ESC_DOM,11:26:00,11:55:00,020977,ESC_DOM_ED12,ED12,ED12
ED12_755_800,43,ESC_DOM,12:35:00,13:20:00,020691,ESC_DOM_ED12,ED12,ED12
ED12_845_865,43,ESC_DOM,14:05:00,14:25:00,020637,ESC_DOM_ED12,ED12,ED12
ED12_906_925,43,ESC_DOM,15:06:00,15:25:00,020291,ESC_DOM_ED12,ED12,ED12
ED12_970_1010,43,ESC_DOM,16:10:00,16:50:00,140731,ESC_DOM_ED12,ED12,ED12
